symbol,meta,mass_num,is_stable,half_life_s,decay_const,decay_unc
H,,3,False,388529193.024,1.7840285698097558e-09,3.6225401433758857e-12
He,,6,False,0.80711,0.8588013784489664,0.00015960675343800097
Be,,7,False,4598208.0,1.507428938751673e-07,1.6994689275667112e-10
Be,,10,False,43960000000000.0,1.577e-14,1e-16
C,,11,False,1221.66,0.0005673814159094554,6.409200219005684e-07
N,,13,False,597.534,0.001160012954174901,4.3097610483558764e-07
C,,14,False,179874626400.0,3.853501710789073e-12,2.0281587951521434e-14
O,,15,False,122.266,0.0056691736096702704,2.272009445584572e-06
N,,16,False,7.13,0.09722,0.00027
F,,18,False,6584.04,0.00010527687871883301,1.3239478432572361e-08
O,,19,False,26.91,0.02576,8e-05
Na,,22,False,82139590.3608,8.438649103499064e-09,2.5936145387065395e-12
Ne,,23,False,37.24,0.01861,6e-05
Na,,24,False,53848.8,1.2872100781446295e-05,1.7210991819021651e-09
Na,m,24,False,0.0202,34.31,0.34
Al,,26,False,22626334584000.0,3.0634532428867105e-14,1.0254236796273507e-15
Mg,,27,False,567.5,0.0012214,1.5e-06
Al,,28,False,134.70000000000002,0.005145858801484374,4.584284010231068e-06
Mg,,28,False,75280.0,9.208e-06,1.3e-08
Si,,31,False,9443.0,7.34e-05,1.4e-07
P,,32,False,1233187.2,5.620778261077842e-07,2.7566347528581864e-10
P,,33,False,2192832.0,3.1609680110466524e-07,6.227281345639582e-10
S,,35,False,7538400.0,9.194884598322526e-08,1.580782452433672e-10
Cl,,36,False,9530199504000.0,7.273165480628382e-14,9.633331762421698e-16
Ar,,37,False,3024864.0,2.2914986609644113e-07,1.3090537908965502e-10
S,,37,False,303.0,0.002288,9e-06
Cl,,38,False,2234.4,0.00031022,4.2e-07
K,,40,False,3.95156152944e+16,1.75410954731654e-17,3.782219915153057e-20
Ar,,41,False,6576.48,0.00010539789987348024,3.4617221329148314e-08
Ca,,41,False,3162006590400.0,2.1921117516464785e-13,3.719151674450114e-15
K,,42,False,44492.0,1.5579e-05,3.8e-09
K,,43,False,79920.0,8.673e-06,3.9e-08
Sc,,44,False,14292.0,4.849896309543418e-05,4.886545400043746e-07
Ti,,44,False,1893417120.0,3.660826625249619e-10,6.711515479624302e-12
Ca,,45,False,14052095.999999998,4.932696023140928e-08,3.3361815208159254e-11
Ti,,45,False,11102.4,6.243219308977746e-05,2.0243901780083483e-07
Sc,,46,False,7239196.800000001,9.574918319114424e-08,1.8284303424854784e-11
Ca,,47,False,391910.0,1.7686e-06,8e-10
Sc,,47,False,289310.4,2.395859881151681e-06,6.439521854670786e-10
Sc,,48,False,157356.0,4.404961873458561e-06,9.06992835990095e-09
V,,48,False,1380153.6,5.022246658342559e-07,9.432039548658868e-11
Ca,,49,False,523.08,0.0013251265209144783,9.119934761971633e-07
V,,50,False,8.331035328e+24,8.320060511930952e-26,5.357614723591901e-27
Cr,,51,False,2393625.6,2.8958045091092996e-07,4.1810633975011546e-11
Ti,,51,False,345.59999999999997,0.0020056342030091013,3.482003824668579e-06
Fe,,52,False,29782.8,2.3273405474298765e-05,2.250540841223137e-08
Mn,,52,False,483148.8,1.4346453526531481e-06,7.696595239555516e-10
Mn,m,52,False,1266.0,0.0005475096212953754,5.1896646568282036e-06
V,,52,False,224.57999999999998,0.003086415444651996,4.122916704050223e-06
Mn,,54,False,26973216.0,2.569760982746534e-08,2.4694202082832896e-12
Co,,55,False,63144.0,1.0977245352843426e-05,2.5033626802379535e-08
Fe,,55,False,86975377.68528,7.969464450825326e-09,1.185527739823951e-12
Co,,56,False,6673968.0,1.0385833143939936e-07,2.6890628892329433e-11
Mn,,56,False,9283.608,7.466355543663038e-05,1.3318404633528248e-08
Ni,,56,False,524880.0,1.3205821912817126e-06,2.173797845731214e-09
Co,,57,False,23484384.0,2.9515237894251146e-08,4.343510230565637e-12
Ni,,57,False,129254.4,5.362658296815778e-06,8.244728664890568e-08
Co,,58,False,6121439.999999999,1.1323270024045737e-07,4.79460974906665e-11
Co,m,58,False,32040.0,2.163e-05,2.4e-07
Fe,,59,False,3844281.6,1.8030603703952002e-07,4.8628409324273835e-11
Ni,,59,False,2398328352000.0,2.8901262830918047e-13,1.9013988704551346e-14
Co,,60,False,166339849.68719998,4.167054267894314e-09,6.32437899928943e-13
Co,m,60,False,628.2,0.0011034,4.2e-06
Co,,61,False,5936.4,0.00011676220951417447,3.5403944667730286e-07
Cu,,61,False,12117.6,5.720168849936829e-05,5.608008676408656e-07
Ni,,63,False,3114671162.4,2.2254265199085828e-10,5.411371476981357e-12
Zn,,63,False,2299.7999999999997,0.00030139454759541933,7.863150211203218e-07
Cu,,64,False,45721.44,1.5160222000005802e-05,2.387361342950742e-09
Ni,,65,False,9061.884,7.649040536823748e-05,7.900677102539637e-09
Zn,,65,False,21082464.0,3.2877901774666624e-08,1.2126597925166986e-11
Cu,,66,False,307.2,0.0022563384783852386,6.1696755268346366e-06
Ga,,66,False,34164.0,2.0288818070481948e-05,1.4965408481915033e-07
Cu,,67,False,222552.0,3.1145403346631137e-06,2.519039416582913e-09
Ga,,67,False,281776.32,2.4599199129293236e-06,3.7713793777471006e-10
Ga,,68,False,4069.7999999999997,0.0001703148018477432,5.021813411403309e-07
Ge,,68,False,23410080.0,2.960891977130985e-08,2.8412323825578744e-11
Zn,,69,False,3380.0,0.0002048,3.3e-06
Zn,m,69,False,49540.0,1.3993e-05,2e-08
Ga,,72,False,50760.0,1.3655e-05,1.9e-08
Se,,73,False,25560.0,2.711843429420756e-05,3.437548009124902e-07
Se,,75,False,10349078.4,6.697670592194424e-08,1.3419832378479574e-11
As,,76,False,94514.40000000001,7.333773272220373e-06,3.0727320025300558e-09
Br,,76,False,57960.00000000001,1.1959061086265446e-05,1.4855976504677572e-07
Ge,,77,False,40680.0,1.7039e-05,1.5e-08
Kr,,79,False,126140.0,5.495e-06,1.6e-08
Se,,79,False,10540021968000.0,6.576335254939436e-14,1.5751701209435775e-15
Br,,80,False,1060.8,0.0006534192878581686,7.391620903372949e-07
Br,m,80,False,15913.8,4.3556358667316754e-05,7.882612132983465e-09
Kr,m,81,False,12.8,0.0542,0.0013
Rb,,81,False,15300.0,4.53e-05,2.7e-06
Rb,m,81,False,1815.0,0.0003819,3.2e-06
Br,,82,False,127080.0,5.4545e-06,4.8e-09
Rb,,82,False,75.912,0.009130930295077791,3.247643560531936e-05
Sr,,82,False,2189980.8000000003,3.165083367671284e-07,2.1227923324421756e-10
Br,,83,False,8546.4,8.110399472993838e-05,1.36653740067293e-07
Kr,m,83,False,6588.0,0.00010521359753490366,1.149875382895122e-06
Rb,,83,False,7448000.0,9.307e-08,1.1e-10
Rb,,84,False,2836000.0,2.444e-07,5e-10
Kr,,85,False,339300347.90400004,2.0428720006973317e-09,4.369982888396449e-12
Kr,m,85,False,16128.0,4.298e-05,8e-08
Sr,,85,False,5603039.999999999,1.2370912586023755e-07,1.3353336638730347e-11
Br,,86,False,55.1,0.01258,9e-05
Rb,,86,False,1610500.0,4.3039e-07,4.6e-10
Br,,87,False,55.65,0.012455,2.9e-05
Kr,,87,False,4579.0,0.0001514,1e-06
Rb,,87,False,1.5668026668e+18,4.42395966797537e-19,3.5641165502319197e-22
Kr,,88,False,10170.0,6.815606495181369e-05,4.583947731272425e-07
Rb,,88,False,1068.0,0.000649,3.6e-06
Y,,88,False,9212832.0,7.52371453815662e-08,3.5279539239222635e-11
Zr,,88,False,7171000.0,9.666e-08,4.7e-10
Kr,,89,False,190.2,0.003644,2.3e-05
Rb,,89,False,912.0,0.00076,5e-06
Sr,,89,False,4369248.0,1.5864221498984385e-07,9.411244709700051e-11
Y,m,89,False,15.663,0.04425379432803073,1.4126857667123389e-05
Zr,,89,False,282312.0,2.455252276063169e-06,4.0701708223439426e-09
Kr,,90,False,32.32,0.02144638553712702,5.972075180511855e-05
Rb,,90,False,158.0,0.004387007471898388,0.00013882935037653126
Rb,m,90,False,258.0,0.0026866169789145165,4.1652976417279326e-05
Sr,,90,False,908840217.6,7.626722135936706e-10,1.8537171858179495e-12
Y,,90,False,230549.76,3.006497081410734e-06,1.4647152622672591e-09
Y,m,90,False,11484.0,6.0357643726919654e-05,1.135253487026702e-06
Kr,,91,False,8.57,0.08088,0.00038
Rb,,91,False,58.4,0.01187,8e-05
Sr,,91,False,34740.0,1.9952423159468777e-05,1.2405651705369186e-07
Y,,91,False,5055264.0,1.3711394312145624e-07,1.4060565009891258e-10
Y,m,91,False,2982.6,0.00023239696256955185,1.8700218271539073e-07
Nb,,92,False,1100000000000000.0,6.28e-16,5.4e-17
Nb,m,92,False,877000.0,7.904e-07,1.6e-09
Sr,,92,False,9540.0,7.27e-05,1.6e-06
Y,,92,False,12740.0,5.439e-05,3.1e-07
Mo,,93,False,126000000000.0,5.5e-12,1.1e-12
Mo,m,93,False,24660.0,2.811e-05,2.9e-07
Nb,m,93,False,508698066.24,1.3625905553038284e-09,1.2679192512132398e-11
Y,,93,False,36400.0,1.906e-05,3.8e-07
Zr,,93,False,50806692720000.0,1.36428321437874e-14,5.084285270976672e-16
Nb,,94,False,640606125600.0,1.082017721748656e-12,8.528218496541131e-14
Sr,,94,False,75.3,0.009205141840105515,2.4449247915286894e-05
Tc,m,94,False,3114.0,0.000222590616750143,4.28883654624553e-06
Y,,94,False,1122.0,0.0006177782357931777,3.3036269293752815e-06
Nb,,95,False,3023222.4,2.292742937337145e-07,3.9314274024814575e-11
Nb,m,95,False,311904.0,2.2223093662150703e-06,1.8467944871593385e-08
Tc,,95,False,72000.0,9.627044174443684e-06,4.8135220872218424e-08
Tc,m,95,False,5270400.0,1.3151699691862958e-07,4.3120326858567076e-09
Zr,,95,False,5532364.8,1.2528949294159802e-07,1.1740019953298166e-11
Nb,,96,False,84060.0,8.245862247917504e-06,1.7657092607960393e-08
Tc,,96,False,369792.0,1.8744244887935522e-06,3.06564752840067e-08
Nb,,97,False,4327.0,0.0001602,1.6e-06
Nb,m,97,False,58.7,0.01181,0.00036
Ru,,97,False,245000.0,2.83e-06,2.3e-07
Zr,,97,False,60296.0,1.1496e-05,5e-09
Mo,,99,False,237418.56,2.919515561714911e-06,6.374720102729163e-10
Tc,,99,False,6674295348000.0,1.0385323759573387e-13,5.892382274935255e-16
Tc,m,99,False,21624.120000000003,3.205435322038285e-05,5.336433186339062e-09
Mo,,101,False,876.0,0.000791,5e-06
Tc,,101,False,852.0,0.000814,6e-06
Pd,,103,False,1468800.0,4.7191393011978847e-07,1.3879821474111425e-09
Rh,m,103,False,3366.9,0.00020587103286701276,5.869975097339756e-08
Ru,,103,False,3391600.0,2.0437e-07,4.2e-11
Tc,,104,False,1098.0,0.000631,1e-05
Rh,,105,False,127227.6,5.4480881550854155e-06,2.9289967727744796e-09
Rh,,106,False,30.1,0.023028145533552997,0.0002295164006666412
Ru,,106,False,32097600.0,2.1594984689196243e-08,1.2207124588778494e-10
Pd,,107,False,188395003440000.0,3.679222738944341e-15,4.3139965113250224e-17
Pd,m,107,False,21.4,0.032390055166352585,0.0007567769898680512
Ag,,108,False,142.92000000000002,0.004849896309543417,2.239666641686716e-05
Ag,m,108,False,13821944976.0,5.0148309934926286e-11,1.030444724690266e-12
Cd,,109,False,39908160.0,1.736855772252956e-08,1.504096793464348e-11
Pd,,109,False,48888.0,1.4178268298149757e-05,1.252866123547843e-07
Ag,,110,False,24.56,0.02822260507165901,0.00012640417580954768
Ag,m,110,False,21580992.0,3.211841145022181e-08,2.571736043736233e-12
Ag,,111,False,643680.0,1.0768505787968328e-06,1.4454370185192386e-09
In,,111,False,242343.36,2.860186392397734e-06,4.078842586042617e-10
In,m,113,False,5968.0,0.00011614,2.7e-07
Sn,,113,False,9943776.0,6.97066366498949e-08,1.8170119901788573e-11
In,,114,False,71.9,0.00964,5e-05
In,m,114,False,4277700.0,1.62039e-07,3.3e-11
Cd,,115,False,192456.0,3.6015877944046708e-06,3.3684883973107656e-09
Cd,m,115,False,3849984.0,1.80038976930799e-07,9.696892832897613e-10
In,m,115,False,16149.599999999999,4.2920393109423474e-05,3.8270524395384286e-08
In,m,116,False,3257.4,0.00021279154557620963,6.663209200212864e-07
Sn,m,117,False,1209600.0,5.730383437168859e-07,2.0465655132745925e-09
Sn,m,119,False,25323840.000000004,2.7371329962594347e-08,6.536994532178793e-11
I,,120,False,4896.0,0.00014157417903593654,3.4699553685278565e-07
I,,121,False,7632.0,9.082117145701589e-05,4.284017521557353e-07
Sn,,121,False,97310.0,7.123e-06,1.1e-08
Sn,m,121,False,1389000000.0,4.99e-10,1.1e-11
Te,,121,False,1656288.0000000002,4.1849435639209193e-07,8.732276607033738e-10
Te,m,121,False,13300000.0,5.21e-08,2.4e-09
Sb,,122,False,233300.0,2.971e-06,1.1e-08
I,,123,False,47604.24,1.45606185617068e-05,4.07416312584624e-09
Te,m,123,False,10307520.0,6.72467461193328e-08,5.636776707404259e-11
Xe,,123,False,7490.0,9.26e-05,9e-07
I,,124,False,360806.4,1.921105558437836e-06,1.3341010822484973e-10
Sb,,124,False,5201971.2,1.332470238512557e-07,2.434422771664584e-11
I,,125,False,5131123.2,1.3508683255937905e-07,6.369016150842955e-11
Sb,,125,False,87051429.9396,7.962501949030365e-09,7.216202306492872e-13
Sn,,125,False,832896.0,8.322133622444402e-07,2.5898756086445234e-09
Te,m,125,False,4959360.0,1.3976544968704536e-07,3.6524072217869e-10
Xe,,125,False,60800.0,1.139e-05,1.3e-07
I,,126,False,1117152.0,6.204591501961642e-07,2.3993006581444865e-09
Sb,,126,False,1071000.0,6.47e-07,5e-09
Sb,m,126,False,1149.0,0.0006033,2.5e-06
Sb,,127,False,332640.0,2.083775795334131e-06,3.788683264243875e-08
Te,,127,False,33660.0,2.0592607859772586e-05,2.202417952916854e-07
Te,m,127,False,9167040.0,7.561297655076723e-08,4.988603542463438e-10
Xe,,127,False,3141331.1999999997,2.206539636953739e-07,1.8813666523341746e-10
I,,128,False,1499.4,0.00046228,3.7e-07
I,,129,False,508066927200000.0,1.36428321437874e-15,5.931666149472783e-17
Sn,m,129,False,417.6,0.0016598352024902903,2.1463386239098577e-05
Te,,129,False,4176.0,0.00016598352024902905,7.15446207969953e-07
Te,m,129,False,2903040.0,2.387659765487025e-07,7.10613025442567e-10
Xe,m,129,False,767232.0000000001,9.034388301842796e-07,2.0347721400546833e-09
Ba,,131,False,994000.0,6.976e-07,3.6e-09
Cs,,131,False,836438.3999999999,8.28688855700486e-07,1.3695921589926432e-09
I,,131,False,693213.1200000001,9.999048785457857e-07,2.3678776429112616e-10
Te,,131,False,1500.0,0.0004621,1.8e-06
Te,m,131,False,108000.0,6.42e-06,4.1e-07
Xe,m,131,False,1033516.7999999999,6.706685179766264e-07,1.1213317471603854e-09
I,,132,False,8262.0,8.389580979907351e-05,4.7522680931937067e-07
I,m,132,False,4990.0,0.0001388,1.5e-06
Sb,,132,False,167.4,0.00414,7e-05
Sb,m,132,False,246.0,0.002818,4.8e-05
Te,,132,False,279072.0,2.483757526946255e-06,9.996547322074709e-09
Xe,m,132,False,0.00839,82.6158737258576,1.0831640178598732
Ba,,133,False,332578717.12799996,2.0841597638768116e-09,1.1865412831635705e-12
I,,133,False,75132.0,9.225725131234964e-06,3.536454290842344e-08
Te,,133,False,747.0,0.000928,2.2e-05
Te,m,133,False,3324.0,0.0002085,1.5e-06
Xe,,133,False,453375.36,1.5288593993285064e-06,1.4567780227622313e-10
Xe,m,133,False,189907.19999999998,3.6499257561585098e-06,2.1587367984558978e-08
Cs,,134,False,65146171.7088,1.0639875872649541e-08,7.215571702048709e-12
Cs,m,134,False,10487.0,6.6097e-05,4.5e-08
I,,134,False,3150.0,0.00022,8e-07
Te,,134,False,2508.0,0.000276,5e-06
Ba,m,135,False,103320.0,6.708741584978177e-06,4.675081243887231e-08
Cs,,135,False,73000000000000.0,9.5e-15,1.2e-15
I,,135,False,23650.0,2.931e-05,9e-08
Xe,,135,False,32900.0,2.1066e-05,4.6e-08
